date;start;end;codes;monkeys;duration
11.11.2019;11:13:22;11:13:31;under, bite, touch;1;00:00:09
;11:15:06;11:15:11;touch;1;00:00:05
;11:15:18;11:15:32;under, grab;1;00:00:14
;11:16:23;11:16:25;touch;1;00:00:02
;11:17:49;11:19:17;under, grab, bite;1;00:01:28
;11:20:19;11:20:32;under, grab, shoo;1;00:00:13
;11:20:42;11:20:59;under, grab;1;00:00:17
;11:40:09;11:40:17;touch;1;00:00:08
;12:47:03;12:47:42;grab, bite;1;00:00:39
;17:07:00;17:07:04;under;1;00:00:04
12.11.2019;11:30:45;11:30:46;next to, touch;1;00:00:01
;12:38:08;12:38:16;next to, grab, bite;1;00:00:08
;13:33:06;13:33:54;under, touch;1;00:00:48
;14:36:27;14:36:28;under;1;00:00:01
;14:57:45;14:58:34;under, grab, bite;1;00:00:49
;15:00:59;15:01:10;next to, grab, bite;1;00:00:11
;15:15:53;15:16:11;under, grab;1;00:00:18
13.11.2019;07:06:33;07:07:02;under;1;00:00:29
;08:03:22;08:03:25;under;1;00:00:03
;16:07:45;16:07:56;under;1;00:00:11
;17:01:05;17:01:09;under;1;00:00:04
14.11.2019;09:00:00;09:00:08;under;1;00:00:08
;10:40:47;10:41:11;under;1;00:00:24
;12:14:02;12:14:13;under;1;00:00:11
;12:18:50;12:19:12;under, touch;1;00:00:22
;12:19:27;12:19:49;under;1;00:00:22
;15:42:35;15:42:37;under;1;00:00:02
15.11.2019;07:12:40;07:12:45;under;1;00:00:05
;10:57:40;10:57:48;under;1;00:00:08
;11:52:36;11:52:39;under;1;00:00:03
;15:02:08;15:02:10;under;1;00:00:02
;15:14:22;15:14:25;under;1;00:00:03
16.11.2019;12:06:49;12:06:52;under;1;00:00:03
;13:23:06;13:23:24;under;1;00:00:18
;14:43:48;14:43:54;under;1;00:00:06
;15:55:29;15:56:41;under;1;00:01:12
17.11.2019;09:00:16;09:00:23;next to, grab;1;00:00:07
;09:39:47;09:40:12;under;1;00:00:25
18.11.2019;07:26:00;07:26:22;under;1;00:00:22
;07:26:32;07:26:35;under;1;00:00:03
;15:37:22;15:37:45;under;1;00:00:23
19.11.2019;07:39:53;07:39:55;under;1;00:00:02
;07:40:19;07:40:29;under;1;00:00:10
;09:21:01;09:21:10;under;1;00:00:09
;12:55:32;12:55:35;under;1;00:00:03
;14:53:59;14:54:01;under;1;00:00:02
20.11.2019;11:59:11;11:59:12;under;1;00:00:01
21.11.2019;09:23:31;09:23:32;under;1;00:00:01
22.11.2019;07:24:14;07:24:15;under;1;00:00:01
24.11.2019;07:03:05;07:03:06;next to, touch;1;00:00:01
;07:34:30;07:34:35;under;1;00:00:05
;13:42:58;13:42:59;under;1;00:00:01
25.11.2019;07:26:45;07:26:59;under;1;00:00:14
;08:26:05;08:26:06;under;1;00:00:01
